路線名,駅,駅ID
ＪＲ山手線,東京,000525620
ＪＲ山手線,有楽町,000540650
ＪＲ山手線,新橋,000520110
ＪＲ山手線,浜松町,000531160
ＪＲ山手線,田町,000523500
ＪＲ山手線,高輪ゲートウェイ,000584570
ＪＲ山手線,品川,000517460
ＪＲ山手線,大崎,000505780
ＪＲ山手線,五反田,000514970
ＪＲ山手線,目黒,000539110
ＪＲ山手線,恵比寿,000505050
ＪＲ山手線,渋谷,000517640
ＪＲ山手線,原宿,000531250
ＪＲ山手線,代々木,000541280
ＪＲ山手線,新宿,000519670
ＪＲ山手線,新大久保,000519120
ＪＲ山手線,高田馬場,000522350
ＪＲ山手線,目白,000539120
ＪＲ山手線,池袋,000502060
ＪＲ山手線,大塚,000506000
ＪＲ山手線,巣鴨,000520550
ＪＲ山手線,駒込,000515330
ＪＲ山手線,田端,000523410
ＪＲ山手線,西日暮里,000529160
ＪＲ山手線,日暮里,000529650
ＪＲ山手線,鶯谷,000504160
ＪＲ山手線,上野,000504030
ＪＲ山手線,御徒町,000506530
ＪＲ山手線,秋葉原,000500480
ＪＲ山手線,神田,000510270
ＪＲ京浜東北線,赤羽,012500380
ＪＲ京浜東北線,東十条,012531960
ＪＲ京浜東北線,王子,012505180
ＪＲ京浜東北線,上中里,012509240
ＪＲ京浜東北線,田端,012523410
ＪＲ京浜東北線,西日暮里,012529160
ＪＲ京浜東北線,日暮里,012529650
ＪＲ京浜東北線,鶯谷,012504160
ＪＲ京浜東北線,上野,012504030
ＪＲ京浜東北線,御徒町,012506530
ＪＲ京浜東北線,秋葉原,012500480
ＪＲ京浜東北線,神田,012510270
ＪＲ京浜東北線,東京,012525620
ＪＲ京浜東北線,有楽町,012540650
ＪＲ京浜東北線,新橋,012520110
ＪＲ京浜東北線,浜松町,012531160
ＪＲ京浜東北線,田町,012523500
ＪＲ京浜東北線,高輪ゲートウェイ,012584570
ＪＲ京浜東北線,品川,012517460
ＪＲ京浜東北線,大井町,012505480
ＪＲ京浜東北線,大森,012506360
ＪＲ京浜東北線,蒲田,012508940
ＪＲ東海道本線,東京,016025620
ＪＲ東海道本線,新橋,016020110
ＪＲ東海道本線,品川,016017460
ＪＲ常磐線,品川,050017460
ＪＲ常磐線,新橋,050020110
ＪＲ常磐線,東京,050025620
ＪＲ常磐線,上野,050004030
ＪＲ常磐線,日暮里,050029650
ＪＲ常磐線,三河島,050036460
ＪＲ常磐線,南千住,050037600
ＪＲ常磐線,北千住,050011310
ＪＲ常磐線,綾瀬,050001370
ＪＲ常磐線,亀有,050009490
ＪＲ常磐線,金町,050008700
ＪＲ南武線,矢野口,018540120
ＪＲ南武線,稲城長沼,018503240
ＪＲ南武線,南多摩,018537650
ＪＲ南武線,府中本町,018534360
ＪＲ南武線,分倍河原,018534560
ＪＲ南武線,西府,018542410
ＪＲ南武線,谷保,018540200
ＪＲ南武線,矢川,018539710
ＪＲ南武線,西国立,018528700
ＪＲ南武線,立川,018523100
ＪＲ横浜線,成瀬,019028070
ＪＲ横浜線,町田,019035780
ＪＲ横浜線,相原,019000130
ＪＲ横浜線,八王子みなみ野,019030670
ＪＲ横浜線,片倉,019008370
ＪＲ横浜線,八王子,019030660
ＪＲ横須賀線,東京,012025620
ＪＲ横須賀線,新橋,012020110
ＪＲ横須賀線,品川,012017460
ＪＲ横須賀線,西大井,012028400
ＪＲ中央線,東京,030525620
ＪＲ中央線,神田,030510270
ＪＲ中央線,御茶ノ水,030506970
ＪＲ中央線,水道橋,030520470
ＪＲ中央線,飯田橋,030501820
ＪＲ中央線,市ヶ谷,030502980
ＪＲ中央線,四ツ谷,030541160
ＪＲ中央線,信濃町,030517470
ＪＲ中央線,千駄ヶ谷,030521520
ＪＲ中央線,代々木,030541280
ＪＲ中央線,新宿,030519670
ＪＲ中央線,大久保,030505600
ＪＲ中央線,東中野,030532110
ＪＲ中央線,中野,030527280
ＪＲ中央線,高円寺,030513930
ＪＲ中央線,阿佐ヶ谷,030500640
ＪＲ中央線,荻窪,030506640
ＪＲ中央線,西荻窪,030528500
ＪＲ中央線,吉祥寺,030511640
ＪＲ中央線,三鷹,030536880
